,title,year,rating,genre,movie_length,votes
307,Argo,(2012),7.7,"Biography, Drama, Thriller",120 min,"600,576"
308,Grave of the Fireflies,(1988),8.5,"Animation, Drama, War",89 min,"262,271"
309,What We Do in the Shadows,(2014),7.7,"Comedy, Horror",86 min,"175,129"
310,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,"Comedy, Drama",119 min,"612,755"
311,Capernaum,(2018),8.4,Drama,126 min,"82,276"
312,Toy Story 4,(2019),7.7,"Animation, Adventure, Comedy",100 min,"233,538"
313,When Harry Met Sally...,(1989),7.6,"Comedy, Drama, Romance",95 min,"211,080"
314,Portrait of a Lady on Fire,(2019),8.1,"Drama, Romance",122 min,"83,620"
315,Lost in Translation,(2003),7.7,"Comedy, Drama",102 min,"441,309"
316,Children of Men,(2006),7.9,"Action, Drama, Sci-Fi",109 min,"488,514"
317,Memories of Murder,(2003),8.1,"Crime, Drama, Mystery",132 min,"168,414"
318,Crash,(I) (2004),7.7,"Crime, Drama, Thriller",112 min,"431,219"
319,The Fighter,(I) (2010),7.8,"Action, Biography, Drama",116 min,"357,156"
320,Captain Fantastic,(2016),7.9,"Comedy, Drama",118 min,"211,342"
321,Taken,(I) (2008),7.8,"Action, Crime, Thriller",90 min,"589,480"
322,Saw,(2004),7.6,"Horror, Mystery, Thriller",103 min,"406,458"
323,The Lives of Others,(2006),8.4,"Drama, Mystery, Thriller",137 min,"380,122"
324,Shaun of the Dead,(2004),7.9,"Comedy, Horror",99 min,"541,655"
325,The Conversation,(1974),7.8,"Drama, Mystery, Thriller",113 min,"108,536"
326,The Pursuit of Happyness,(2006),8.0,"Biography, Drama",117 min,"488,858"
327,Minority Report,(2002),7.6,"Action, Crime, Mystery",145 min,"536,228"
328,A Few Good Men,(1992),7.7,"Drama, Thriller",138 min,"253,315"
329,American Gangster,(2007),7.8,"Biography, Crime, Drama",157 min,"415,504"
330,The Florida Project,(2017),7.6,Drama,111 min,"108,586"
331,Big Hero 6,(2014),7.8,"Animation, Action, Adventure",102 min,"442,099"
332,"Monsters, Inc.",(2001),8.1,"Animation, Adventure, Comedy",92 min,"872,823"
333,Boyz n the Hood,(1991),7.8,"Crime, Drama",112 min,"136,336"
334,Mystic River,(2003),7.9,"Crime, Drama, Mystery",138 min,"445,530"
335,Dallas Buyers Club,(2013),8.0,"Biography, Drama",117 min,"472,771"
